sample_id,author,book,mark_index,mark,context,manual_state,notes
S020,charlotte_bronte,gutenberg_texts/1260.txt,35710,",","unk, dense summer foliage—no opening anywhere. I proceeded: at last my way opened, the trees thinned a little; presently I beheld a railing ⟦,⟧ then the house—scarce, by this dim light, distinguishable from the trees; so dank and green were its decaying walls. Entering a portal, fas",narration,
S021,agnes_may_fleming,gutenberg_texts/7063.txt,14466,",","ary beauty of womanhood, it seemed to Sir Victor Catheron. ""It is a wonderfully pretty place,"" she said. ""I should think you English people ⟦,⟧ whose ancestors, time out of mind, have lived and died here, would grow to love every ivy-clad stone, every brave old tree. If I were not A",dialogue,
S022,kathleen_thompson_norris,gutenberg_texts/3635.txt,3321,",","are poor people, our house is crowded, our days a severe and endless struggle with the ugly things of life. We have good blood in our veins ⟦,⟧ but not more than hundreds of thousands of other American families. My mother would not understand one tenth of your aunt's conversation; y",dialogue,extended speech to an interlocutor; quote delimiters outside the context window - please spot-check
S023,jane_austen,gutenberg_texts/1342.txt,17718,",","be found. Wickham, indeed, had gone to her on their first arrival in London; and had she been able to receive them into her house ⟦,⟧ they would have taken up their abode with her. At length, however, our kind friend procured the wished-for direction. They were i",narration,"inside Mrs Gardiner's letter (ch. 52). Convention: embedded written documents = narration, not speech"
S024,agnes_may_fleming,gutenberg_texts/7063.txt,26978,.,"y and wonder, ""how he loves me, how faithful he is after all. Oh, I wonder--I wonder, _what_ this secret is that took him from me a year ago ⟦.⟧ Will his mountain turn into a mole-hill when I hear it, if I ever do, or will it justify him? Is he sane or mad? And yet Lady Helena, who i",dialogue,
S025,jane_austen,gutenberg_texts/1342.txt,19495,"""","I suppose, is your mother?” Elizabeth replied very concisely that she was. “And _that_, I suppose, is one of your sisters?” “Yes, madam, ⟦”⟧ said Mrs. Bennet, delighted to speak to a Lady Catherine. “She is my youngest girl but one. My youngest of all is lately married, and my el",dialogue,
S026,susan_warner,gutenberg_texts/16918.txt,1107,.,"-- the things which belong to the _mind_ -- things which have to do with something besides the labour of to-day and the labour of to-morrow ⟦.⟧ "" ""The labour of to-day and the labour of to-morrow are pretty necessary though,"" said his father dryly; ""we must eat, in the first place.",dialogue,
S027,mark_twain,gutenberg_texts/86.txt,14936,.,"e, for they drove us further from the road and from likelihood of succor. So we had to stop at last and slump down in the snow where we were ⟦.⟧ The storm continued until toward midnight, then ceased. By this time two of our feebler men and three of our women were dead, and others p",narration,
S028,susan_warner,gutenberg_texts/29824.txt,4283,",","f it."" ""Ah,"" said Mr. Knowlton, laughing, ""you are a great deal cleverer than I am. You have no idea how fast I can lose myself. Miss Diana ⟦,⟧ the sooner the better, while this lovely weather lasts. Shall we say to-morrow?"" ""I'll be ready,"" said Diana. ""This weather ain't goin' t",dialogue,
S029,herbert_george_wells,full_books/herbert_george_wells_full.txt,9760,",","d that was the police station. Was that footsteps he heard behind him? Spurt. The people below were staring at him, one or two were running ⟦,⟧ and his breath was beginning to saw in his throat. The tram was quite near now, and the “Jolly Cricketers” was noisily barring its doors. B",narration,
S030,louis_joseph_vance,gutenberg_texts/8741.txt,5634,"""","ently. ""I was thoughtful^. It's all so strange, you know."" His attitude was an eager question. ""I mean our meeting--that way, last night. ⟦""⟧ She held his gaze again, momentarily, and---- ""Damn the waiter!"" quoth savagely Mr. Anisty to his inner man, sitting back to facilitate th",dialogue,
S031,charles_dickens,gutenberg_texts/1400.txt,11142,.,"ghtily secure of me. I should have liked him to have betrayed emotion, or to have said, “It does you credit, Pip,” or something of that sort ⟦.⟧ Therefore, I made no remark on Joe’s first head; merely saying as to his second, that the tidings had indeed come suddenly, but that I had",narration,
S032,kathleen_thompson_norris,gutenberg_texts/4787.txt,21564,",","u. But I don't think I will come back under a year. ""You hear of men all your life who do this, but I feel as if it was killing me, and you ⟦,⟧ too. I wish there was some other way. ""I have written Harry at the Crocker; my account there is to be transferred to your name. I don't kn",narration,"inside a quoted letter (paragraph-initial quote marks visible). Convention: letter = narration, not speech - quote-based methods will call this dialogue"
S033,mark_twain,gutenberg_texts/86.txt,15659,",","have. Now, then, in order to increase the strings to my bow, I thought I would look up some of those people whom I had formerly recognized ⟦,⟧ and make myself known. That would help us out of our scrape, without the knights. But I must proceed cautiously, for it was a risky busin",narration,
S034,mildred_wirt,gutenberg_texts/34592.txt,1963,"""","trudged along in silence, the snow creaking beneath their boots. ""Staying at the Downey Lodge?"" Fergus inquired after awhile. ""Yes, I am. ⟦""⟧ ""Like it there?"" ""Well, I only arrived on the morning plane."" ""Yes, I noticed you aboard,"" he nodded. ""Mrs. Downey is a very fine woman,",dialogue,
S035,louis_joseph_vance,gutenberg_texts/9779.txt,17429,",","rd’s Bush and, paced by huge doubledeck trolley trams, were flying through Hammersmith on the Uxbridge Road; once they had run through Acton ⟦,⟧ and knew beyond dispute that now they were without the city boundaries, then the complexion of the business was suddenly changed. Not too",narration,
S036,jane_austen,gutenberg_texts/1342.txt,426,",","r characters in_ Pride and Prejudice _has been already alluded to, and it makes a detailed dwelling on their beauties difficult in any space ⟦,⟧ and impossible in this. Mrs. Bennet we have glanced at, and it is not easy to say whether she is more exquisitely amusing or more horribly",narration,"Saintsbury's critical introduction, not the novel text; consider excluding front matter from the corpus"
S037,arthur_conan_doyle,gutenberg_texts/2852.txt,7229,.,that he is anywhere upon the moor?” “I know it because I have seen with my own eyes the messenger who takes him his food ⟦.⟧ ” My heart sank for Barrymore. It was a serious thing to be in the power of this spiteful old busybody. But his next remark too,dialogue,
S038,charles_dickens,gutenberg_texts/1400.txt,4349,.,"s that had been dug out of a vault under the church pavement. Now, waxwork and skeleton seemed to have dark eyes that moved and looked at me ⟦.⟧ I should have cried out, if I could. “Who is it?” said the lady at the table. “Pip, ma’am.” “Pip?” “Mr. Pumblechook’s boy, ma’am. Come—",narration,
S039,mark_twain,gutenberg_texts/76.txt,18706,",","to eat after this till his owner come, or he was sold at auction because he didn’t come in a certain length of time, and filled up our hole ⟦,⟧ and said a couple of farmers with guns must stand watch around about the cabin every night, and a bulldog tied to the door in the daytime;",narration,
S040,charlotte_bronte,gutenberg_texts/30486.txt,9354,?,"wn out o' work wi' these frames; we can get nought to do; we can earn nought. What is to be done? Mun we say, wisht! and lig us down and dee ⟦?⟧ Nay; I've no grand words at my tongue's end, Mr. Moore, but I feel that it wad be a low principle for a reasonable man to starve to death l",dialogue,
S041,mary_shelley,gutenberg_texts/15238.txt,2878,.,s shut in on all sides by steep black precipices; where no ray of heat could penetrate; and from which there was no outlet to sunnier fields ⟦.⟧ And thus it was that although the spirit of friendship soothed me for a while it could not restore me. It came as some gentle visitation; i,narration,
S042,charlotte_bronte,gutenberg_texts/9182.txt,23410,:,"dame Beck and I, without assimilating, understood each other well. I was not _her_ companion, nor her children’s governess; she left me free ⟦:⟧ she tied me to nothing—not to herself—not even to her interests: once, when she had for a fortnight been called from home by a near relatio",narration,
S043,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,16737,!,"mask; and if, on seeing you, he still loved you, you were to be his wife.” “Then woe to him for ever having extorted such a promise from me ⟦!⟧ Oh, I warned him again, and again, and again. I told him how it would be--I begged him to desist; but no, he was blind, he was mad; he woul",dialogue,
S044,ethel_m_dell,gutenberg_texts/13960.txt,19134,"""","momentary surprise, and in a flash she laughed and clapped her hands. ""I had you there, King Charles! You see, you are but a man after all. ⟦""⟧ He gave her a swift and piercing glance. ""And what are you?"" he said. Her eyes fell swiftly before his look; she made no reply. They ret",dialogue,
S045,charles_dickens,gutenberg_texts/1400.txt,29689,",","appointed order of their Maker, I knew equally well. And could I look upon her without compassion, seeing her punishment in the ruin she was ⟦,⟧ in her profound unfitness for this earth on which she was placed, in the vanity of sorrow which had become a master mania, like the vanity",narration,
S046,mark_twain,gutenberg_texts/86.txt,8835,",","promise it.” “Then will I have the first bath myself! Go--get ye to your work. Tarry not, tarry not, but go.” I and my boys were at work ⟦,⟧ straight off. The ruins of the old bath were there yet in the basement of the monastery, not a stone missing. They had been left just so,",narration,
S047,susan_warner,gutenberg_texts/16918.txt,30477,"""","ain't goin' fur to buy it yourself?"" ""No Karen -- I am not rich enough to keep a country house."" ""You had ought to have it,"" said Karen. ⟦""⟧ It don't belong to nobody else but you. And you don't know who's a goin' to have it, Governor?"" ""I don't know."" ""'Tain't likely they'll le",dialogue,
S048,harold_l_goodwin,gutenberg_texts/32059.txt,5848,.,"otty suggested. Rick shook his head. The first part of his plan had to be put into operation immediately. ""It's only a little while to dawn ⟦.⟧ By sunrise we have to be east of the island."" He explained quickly. For a safe, undetected look at the areas of the island he wanted to se",dialogue,
S049,jane_austen,gutenberg_texts/161.txt,12110,",","y of the others being of course excited, they were handed round for general inspection. Mrs. Ferrars, not aware of their being Elinor’s work ⟦,⟧ particularly requested to look at them; and after they had received gratifying testimony of Lady Middletons’s approbation, Fanny presented",narration,
S050,kathleen_thompson_norris,gutenberg_texts/28301.txt,7107,.,"ed without an introduction, or to turn to a strange girl's rescue if she spilled a cup of tea. But there was none of that sort of thing here ⟦.⟧ To be sure, Annie's men were either married, divorced, or too old to be strictly eligible in the eyes of unsophisticated nineteen, but tha",narration,
S051,joseph_conrad,gutenberg_texts/5658.txt,18123,",","ooted eyes if I wanted to know; and so I bore it, reflecting how much certain forms of evil are akin to madness, derived from intense egoism ⟦,⟧ inflamed by resistance, tearing the soul to pieces, and giving factitious vigour to the body. The story also reveals unsuspected depths of",dialogue,Marlow's framed oral narration (single-quoted). Convention: extended spoken narrative = dialogue
S052,louis_joseph_vance,gutenberg_texts/9779.txt,11007,!,"y back. “Now give that boatman money for taking me ashore. Yes, I’m going—and if we ever meet again, take the other side of the way, Stryker ⟦!⟧ ” Without response, a grim smile wreathing his thin, hard lips, Stryker thrust one hand into his pocket, and withdrawing a coin, tossed it",dialogue,
S053,charles_dickens,gutenberg_texts/98.txt,10321,.,"ceptibly crestfallen. “Well! I--Were you going there now?” asked Mr. Lorry. “Straight!” said Stryver, with a plump of his fist on the desk ⟦.⟧ “Then I think I wouldn’t, if I was you.” “Why?” said Stryver. “Now, I’ll put you in a corner,” forensically shaking a forefinger at him.",narration,
S054,charlotte_bronte,gutenberg_texts/30486.txt,21333,"""","ration is to be made, I am certain. I saw it all in Mr. Moore's manner this evening. He was excited, yet hard."" ""Hard to _you_, Shirley?"" ⟦""⟧ Yes, to _me_. He often is hard to me. We seldom converse _tête-à-tête_ but I am made to feel that the basis of his character is not of eider",dialogue,
S055,john_c_hutcheson,gutenberg_texts/21107.txt,4577,.,"instinctively I made my way to the sea, there seeking that comfort and calm which the mere sight of it, somehow or other, always afforded me ⟦.⟧ I got down, I recollect, on the Hoe, and, walking along the esplanade, halted right in front of the Breakwater, whence I could command a v",narration,
S056,susan_warner,gutenberg_texts/8874.txt,13730,.,"as well as on the left?"" ""Those on the right shew when I finished the volume."" ""Well I wonder what you were cut out for?"" said the doctor ⟦.⟧ ""A Quaker!--you aren't a Quaker, are you?"" ""No sir,"" said Fleda laughing. ""You look like it,"" said he. 'Feb. 24. Five Penny Magazines, f",narration,
S057,mary_shelley,gutenberg_texts/84.txt,7631,?,"w me to Mr. Kirwin’s to give an account of yourself.” “Who is Mr. Kirwin? Why am I to give an account of myself? Is not this a free country ⟦?⟧ ” “Ay, sir, free enough for honest folks. Mr. Kirwin is a magistrate, and you are to give an account of the death of a gentleman who was fo",dialogue,
S058,louis_joseph_vance,gutenberg_texts/9378.txt,13401,",","ut--for reasons not unconnected with my profession--I prefer to remain in ignorance of the way you go."" Releasing her hand, he stepped back ⟦,⟧ saluted the lovers with a smile and gay gesture, and clambered briskly to the pilot's seat of the biplane. When firmly established, he tur",narration,
S059,charlotte_bronte,gutenberg_texts/30486.txt,25264,",","like malefactors because they stand by him, because they venture to espouse the cause of one against two hundred?"" ""Come, come now, be cool ⟦,⟧ "" said Mr. Yorke, smiling at the earnestness with which Shirley multiplied her rapid questions. ""Cool! Must I listen coolly to downright no",dialogue,
S060,agnes_may_fleming,gutenberg_texts/7063.txt,30460,.,"""At last! at last!"" she breathes; ""when it is too late. Oh, Charley! If the past might only come over again, how different it all would be ⟦.⟧ I think""--she says this with a weak little laugh, that reminds him of the Edith of old--""I think I could sleep more happily even in my grav",dialogue,
S061,joseph_conrad,gutenberg_texts/2021.txt,329,",","of a trading world in the solemn hush of the deep Golfo Placido as if within an enormous semi-circular and unroofed temple open to the ocean ⟦,⟧ with its walls of lofty mountains hung with the mourning draperies of cloud. On one side of this broad curve in the straight seaboard of t",narration,
S062,ethel_m_dell,gutenberg_texts/13547.txt,12641,"""","s departure also, with the intention of presenting himself again later. He was actually on the doorstep when Jack came striding after him. ⟦""⟧ I say, Chris wants you. I forgot to mention it. Make my apologies, for Heaven's sake! She must have been waiting an hour or more."" ""What?""",dialogue,
S063,joseph_conrad,gutenberg_texts/219.txt,5557,.,"that no one knew him so well as I! I had all his noble confidence. I knew him best.’ “‘You knew him best,’ I repeated. And perhaps she did ⟦.⟧ But with every word spoken the room was growing darker, and only her forehead, smooth and white, remained illumined by the inextinguishable",dialogue,Marlow's framed oral narration (Heart of Darkness). Convention: extended spoken narrative = dialogue
S064,arthur_conan_doyle,gutenberg_texts/1661.txt,8722,"""","wharf and the house. It seemed likely enough that the weighted coat had remained when the stripped body had been sucked away into the river. ⟦”⟧ “But I understand that all the other clothes were found in the room. Would the body be dressed in a coat alone?” “No, sir, but the facts",dialogue,
S065,kathleen_thompson_norris,gutenberg_texts/28301.txt,1508,"""","erribly tired, Mother!"" ""Well, I had a little business to discuss with Mrs. Melrose,"" Mrs. Sheridan said, ""and I'm no hand for business!"" ⟦""⟧ You know it!"" Wolf Sheridan concurred, with his ready laugh. ""Why didn't you send me?"" ""It was her business, lovey,"" his mother said, mildl",dialogue,
S066,charlotte_bronte,gutenberg_texts/1260.txt,34850,.,"all was moorland loneliness and midnight hush. “Down superstition!” I commented, as that spectre rose up black by the black yew at the gate ⟦.⟧ “This is not thy deception, nor thy witchcraft: it is the work of nature. She was roused, and did—no miracle—but her best.” I broke from S",narration,
S067,herbert_george_wells,full_books/herbert_george_wells_full.txt,8439,"""","d went to his moustache. Was that a movement downstairs? “And it is killing we must do, Kemp.” “It is killing we must do,” repeated Kemp. ⟦“⟧ I’m listening to your plan, Griffin, but I’m not agreeing, mind. _Why_ killing?” “Not wanton killing, but a judicious slaying. The point is",dialogue,
S068,charlotte_bronte,gutenberg_texts/1260.txt,22417,",","moreover, maintain by its pungent aid that distance between you and myself most conducive to our real mutual advantage.” From less to more ⟦,⟧ I worked him up to considerable irritation; then, after he had retired, in dudgeon, quite to the other end of the room, I got up, and sayin",narration,
S069,ethel_m_dell,gutenberg_texts/13547.txt,29010,",","cause to regret it. I will tell you why I disagreed with Mr. Mordaunt if you desire to know. It was because he found that he had been robbed ⟦,⟧ and that I""--he spread out his hands--""was the robber."" Max stared. ""Found that you had robbed him! You!"" Bertrand nodded several times,",dialogue,
S070,john_c_hutcheson,gutenberg_texts/21108.txt,6251,",","o speak without further interruption. ""Our Bismark signed an armistice with the French at Versailles on Saturday by which Paris capitulates ⟦,⟧ the forts defending it being given over to our soldiers, and the starving city allowed to be reprovisioned by the good English, who have pr",dialogue,
S071,susan_warner,gutenberg_texts/16918.txt,14164,.,"the matter. ""You needn't wish that,"" said Winthrop. ""Then, yer honour, I wouldn't wish anything better to meself, if I could ha' helped it ⟦.⟧ If meself had been in the box, I couldn't ha' taken it more tinder, till we began to go, and then, plase yer honour, I hadn't no hoult of a",dialogue,
S072,susan_warner,gutenberg_texts/16918.txt,27506,"""","minutes. ""My dependence is on you, Governor,"" Rufus said at last. ""I wish I could help you, Will."" ""How can I get out of this scrape?"" ⟦""⟧ You have no defence in law."" ""But there must be a defence somewhere!"" said Rufus drawing himself up, with the whole spirit of the common la",dialogue,
S073,louis_joseph_vance,gutenberg_texts/9378.txt,2462,",","tance, however, with more vexation than surprise: De Morbihan would surely show up in time; meanwhile, it was annoying to be obliged to wait ⟦,⟧ to endure this martyrdom of ennui. He sipped his wine sparingly, without relish, considering the single subsidiary fact which did impress",narration,
S074,herbert_george_wells,gutenberg_texts/35.txt,4396,.,"earth’s fate, watching with a strange fascination the sun grow larger and duller in the westward sky, and the life of the old earth ebb away ⟦.⟧ At last, more than thirty million years hence, the huge red-hot dome of the sun had come to obscure nearly a tenth part of the darkling hea",dialogue,"the Time Traveller's spoken narrative, printed WITHOUT quote marks. Convention-dependent; quote-based methods will call this narration"
S075,louis_joseph_vance,gutenberg_texts/9378.txt,294,",","his facile Irish tongue had caught the trick of an accent which passed unchallenged on the Boulevardes. He had an alert eye for pretty women ⟦,⟧ a heart as big as all out-doors, no scruples worth mentioning, a secret sorrow, and a pet superstition. The colour of his hair, a clamorou",narration,
S076,susan_warner,gutenberg_texts/8874.txt,49436,.,"ew near her. ""I am sure we shall love each other, Fleda,"" she said. It was said like Fleda, not like Mrs. Carleton, and answered as simply ⟦.⟧ Fleda had gained her place. Her head was in Mrs. Carleton's neck, and welcomed there. ""At least I am sure I shall love you,"" said the lady",narration,
S077,susan_warner,gutenberg_texts/29824.txt,17253,",","this carriage is yours?"" ""No; it is yours."" ""Mine! then you have bought it! Didn't it cost a great deal?"" ""I thought not. If you like it ⟦,⟧ certainly not."" ""O, Basil, you are very good!"" said Diana humbly. ""But indeed I do not want you to go to any expense, ever, for me."" ""I a",dialogue,
S078,mark_twain,gutenberg_texts/74.txt,11291,",","then stepped quickly but cautiously along. When he emerged at the quarry he felt secure, and so he picked up his nimble heels and flew. Down ⟦,⟧ down he sped, till he reached the Welshman’s. He banged at the door, and presently the heads of the old man and his two stalwart sons were",narration,
S079,jane_austen,full_books/jane_austen_full.txt,21790,",","n to deny that there was a time—and not very distant either—when you gave me reason to understand that you did care about him?” “Him!—never ⟦,⟧ never. Dear Miss Woodhouse, how could you so mistake me?” turning away distressed. “Harriet!” cried Emma, after a moment’s pause—“What do",dialogue,
S080,kathleen_thompson_norris,gutenberg_texts/28301.txt,2276,!,"use like maniacs, not knowing what had happened to Leslie or Acton, and having her fall sobbing into your arms, with the pearls in her hands ⟦!⟧ "" ""Mama's wonderful,"" Alice laughed. ""Chris, did you eat any dinner?"" He considered. ""But I'm really not hungry, dear,"" he protested. Al",dialogue,
S081,mary_shelley,gutenberg_texts/18247.txt,16735,",","I exerted myself to distract her attention from too keen an observation of the truth of things, of the near and nearer approaches of disease ⟦,⟧ misery, and death, of the wild look of our attendants as intelligence of another and yet another death reached us; for to the last somethin",narration,
S082,susan_warner,gutenberg_texts/16918.txt,22925,",","one side the hearth; and Mrs. Nettley was just, with some trouble, hanging a large round griddle over the blazing fire. Her brother stood by ⟦,⟧ with his hands on his sides, and a rather complacent face. ""What's that flap-jack going on for?"" ""For something I like, if you don't,"" sa",narration,
S083,ethel_m_dell,gutenberg_texts/12360.txt,20800,.,", even as she lay. And she shrank with a desperate sense of impotence, feeling her fate to be sealed. For she knew that she must go to him ⟦.⟧ She must pass through the furnace anew. She must endure her fate. Afterwards--it might be--when it had burnt itself out, some spark of t",narration,
S084,susan_warner,gutenberg_texts/8874.txt,11857,"""","aid he, laying his hand caressingly on his little cousin's shoulder;--""Don't grieve so, dear Fleda!"" ""It was only just before grandpa died, ⟦""⟧ said Fleda. Hugh had known of that before, though like her he had forgotten it for a moment. A little while his feeling was too strong to",dialogue,
S085,susan_warner,gutenberg_texts/16918.txt,32010,?,"in."" ""She hasn't been well this great while, Clam; _that's_ nothing new."" ""_This_ is,"" said Clam. ""Does her brother think she is very ill ⟦?⟧ "" ""He knows more about it than I do,"" said Clam. ""I said I would go to take care of her, and he said I wouldn't, for you'd be a wantin' me.",dialogue,
S086,charlotte_bronte,gutenberg_texts/30486.txt,38932,.,"id. ""It will be for the first time; it is in a moment of calamity. Give it me."" Awaiting neither consent nor refusal, he took what he asked ⟦.⟧ ""I am going to Briarmains now,"" he went on. ""I want you to step over to the rectory and tell Caroline Helstone what has happened. Will you",narration,
S087,arthur_conan_doyle,gutenberg_texts/2852.txt,7328,!,"a county constable could guess. But not one word shall they have from me, and I bind you to secrecy also, Dr. Watson. Not a word ⟦!⟧ You understand!” “Just as you wish.” “They have treated me shamefully—shamefully. When the facts come out in Frankland",dialogue,
S088,john_c_hutcheson,gutenberg_texts/21107.txt,10300,",","similar fashion from the skipper, the two never interchanging a word save with reference to the navigation of the vessel. He seemed, indeed ⟦,⟧ to have sent us both to Coventry, although Captain Billings made no comment to me on his conduct; but I did not fail to notice--what indeed",narration,
S089,charlotte_bronte,gutenberg_texts/30486.txt,37342,;,"smile that ever lit a fair virgin face, and only turned her eyes from the encounter of your own lest their clearness should reveal too much ⟦;⟧ supposing, in short, your Mary had been not cold, but modest; not vacant, but reflective; not obtuse, but sensitive; not inane, but innocen",dialogue,second-person address to Yorke inside the ch. 30 conversation; uncertain - could be a narratorial apostrophe
S090,charlotte_bronte,gutenberg_texts/30486.txt,35810,",","uis Moore longs to have something near him to-night; but not the boy-baronet, nor his benevolent but stern mother, nor his patrician sisters ⟦,⟧ nor one soul of the Sympsons. This night is not calm; the equinox still struggles in its storms. The wild rains of the day are abated; the",narration,
S091,john_c_hutcheson,gutenberg_texts/24267.txt,6575,.,"the palefaces Rising Cloud swears it!"" And the Indian spat on the ground with a savage gesture as he spoke. STORY ONE, CHAPTER NINETEEN ⟦.⟧ GOLD AT LAST--EUREKA! When Jasper and the mule waggon appeared at Minturne Creek, some time after the departure of Noah Webster and the r",narration,"chapter heading, not running text"
S092,joseph_conrad,gutenberg_texts/5658.txt,21451,!,"as inflexible, and with the growing loneliness of his obstinacy his spirit seemed to rise above the ruins of his existence. She cried “Fight ⟦!⟧ ” into his ear. She could not understand. There was nothing to fight for. He was going to prove his power in another way and conquer the fat",dialogue,
S093,ethel_m_dell,gutenberg_texts/12360.txt,18396,!,"eld up for hours, and so I arrived--too late."" The utter dreariness of her speech went straight to Kelly's heart. ""Ah, there now--there now ⟦!⟧ "" he said. ""If I'd only known I'd have followed and helped ye that night."" ""You see, I didn't know you were coming back,"" she said. ""And",dialogue,
