author,book,n_marks,narration_marks,dialogue_marks,dialogue_fraction,narration_blocks,dialogue_blocks,unmatched_closers,paragraph_unclosed_quotes
oscar_wilde,gutenberg_texts/773.txt,5765,3553,2212,0.3836947094535993,358,357,14,17
oscar_wilde,gutenberg_texts/14522.txt,1955,1126,829,0.42404092071611255,104,103,0,5
joseph_conrad,gutenberg_texts/219.txt,5780,718,5062,0.8757785467128028,49,48,22,160
joseph_conrad,gutenberg_texts/5658.txt,21875,2919,18956,0.86656,295,294,114,459
joseph_conrad,gutenberg_texts/2021.txt,27296,15942,11354,0.41595838218053927,1503,1503,118,60
mildred_wirt,gutenberg_texts/34592.txt,9815,3105,6710,0.6836474783494652,1106,1106,0,18
mildred_wirt,gutenberg_texts/34832.txt,10196,3024,7172,0.7034131031777168,1248,1248,0,6
mildred_wirt,gutenberg_texts/35082.txt,10825,3192,7633,0.7051270207852194,1274,1274,0,33
robert_sidney_bowen,gutenberg_texts/32440.txt,9774,3565,6209,0.6352568037650911,879,878,0,7
robert_sidney_bowen,gutenberg_texts/32331.txt,9543,2950,6593,0.6908728911243843,881,880,0,22
robert_sidney_bowen,gutenberg_texts/32542.txt,9938,3141,6797,0.683940430670155,855,854,0,14
luis_senarens,gutenberg_texts/54629.txt,6575,3858,2717,0.4132319391634981,453,452,171,11
luis_senarens,gutenberg_texts/54648.txt,6621,3809,2812,0.4247092584201782,462,461,196,11
luis_senarens,gutenberg_texts/55562.txt,6501,3897,2604,0.40055376095985235,457,456,145,44
john_c_hutcheson,gutenberg_texts/21107.txt,13746,7360,6386,0.46457151171249816,957,956,0,147
john_c_hutcheson,gutenberg_texts/24267.txt,15014,6203,8811,0.586852271213534,1130,1129,0,163
john_c_hutcheson,gutenberg_texts/21108.txt,21933,9932,12001,0.5471663703095792,1610,1609,0,170
harold_l_goodwin,gutenberg_texts/31581.txt,8737,3766,4971,0.5689595971157148,766,765,0,15
harold_l_goodwin,gutenberg_texts/31589.txt,8549,3099,5450,0.6375014621593169,833,832,0,16
harold_l_goodwin,gutenberg_texts/32059.txt,8024,3420,4604,0.5737786640079761,736,735,0,9
kathleen_thompson_norris,gutenberg_texts/3635.txt,6445,2964,3481,0.5401086113266098,553,553,0,27
kathleen_thompson_norris,gutenberg_texts/4787.txt,29871,12992,16879,0.5650631046834723,2549,2548,0,102
kathleen_thompson_norris,gutenberg_texts/28301.txt,18780,9629,9151,0.4872736954206603,1333,1332,0,41
arthur_scott_bailey,gutenberg_texts/9462.txt,2341,1192,1149,0.4908158906450235,274,273,0,15
arthur_scott_bailey,gutenberg_texts/18656.txt,2845,1083,1762,0.6193321616871704,383,383,0,25
arthur_scott_bailey,gutenberg_texts/24589.txt,2650,1345,1305,0.49245283018867925,315,314,0,12
louis_joseph_vance,gutenberg_texts/8741.txt,13154,6574,6580,0.5002280675079823,960,960,0,93
louis_joseph_vance,gutenberg_texts/9378.txt,13437,6917,6520,0.4852273572970157,905,904,0,117
louis_joseph_vance,gutenberg_texts/9779.txt,18853,10387,8466,0.44905320108205593,1470,1469,492,20
susan_warner,gutenberg_texts/16918.txt,47316,14475,32841,0.6940781131118438,3716,3715,0,368
susan_warner,gutenberg_texts/8874.txt,51920,19027,32893,0.6335323574730355,4878,4877,0,1333
susan_warner,gutenberg_texts/29824.txt,29636,11074,18562,0.6263328384397354,1727,1726,0,385
ethel_m_dell,gutenberg_texts/12360.txt,23445,10868,12577,0.5364470036255065,2467,2467,0,63
ethel_m_dell,gutenberg_texts/13960.txt,23345,8479,14866,0.6367958877704005,2721,2720,0,37
ethel_m_dell,gutenberg_texts/13547.txt,34173,13002,21171,0.6195241857606882,3735,3736,0,46
