interpretation,endpoint,experiment,author_set,condition,policy,unit,chunk_size,feature,author,n,correct,accuracy_pct,chance_pct,binomial_p_greater_than_chance,most_predicted,skipped,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,1000,f1,ALL,260,33,12.692307692307692,7.6923076923076925,0.00329595302140821,arthur_conan_doyle:126; jane_austen:85; kathleen_thompson_norris:32,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,2000,f1,ALL,260,26,10.0,7.6923076923076925,0.10326998163103505,arthur_conan_doyle:158; jane_austen:71; kathleen_thompson_norris:20,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,4000,f1,ALL,260,26,10.0,7.6923076923076925,0.10326998163103505,arthur_conan_doyle:168; jane_austen:84; kathleen_thompson_norris:5,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,1000,f3,ALL,260,31,11.923076923076923,7.6923076923076925,0.010383686750711956,arthur_conan_doyle:109; jane_austen:63; kathleen_thompson_norris:57,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,2000,f3,ALL,260,27,10.384615384615385,7.6923076923076925,0.06975125307261422,arthur_conan_doyle:158; jane_austen:52; kathleen_thompson_norris:28,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,4000,f3,ALL,260,20,7.6923076923076925,7.6923076923076925,0.5333202402478358,arthur_conan_doyle:193; jane_austen:50; mark_twain:10,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,1000,f1,ALL,130,21,16.153846153846153,7.6923076923076925,0.0009608207664264115,arthur_conan_doyle:61; harold_l_goodwin:36; luis_senarens:13,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,2000,f1,ALL,130,20,15.384615384615385,7.6923076923076925,0.0022819708596626027,arthur_conan_doyle:61; harold_l_goodwin:61; luis_senarens:4,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,4000,f1,ALL,130,15,11.538461538461538,7.6923076923076925,0.07516967828785803,harold_l_goodwin:95; arthur_conan_doyle:34; luis_senarens:1,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,1000,f3,ALL,130,22,16.923076923076923,7.6923076923076925,0.00038412826541061283,arthur_conan_doyle:58; harold_l_goodwin:36; ethel_m_dell:11,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,2000,f3,ALL,130,19,14.615384615384615,7.6923076923076925,0.005138511601794908,harold_l_goodwin:63; arthur_conan_doyle:53; luis_senarens:8,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,4000,f3,ALL,130,14,10.76923076923077,7.6923076923076925,0.1267015331552007,harold_l_goodwin:100; arthur_conan_doyle:23; luis_senarens:3,0,,,,,,,,
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,1000,f1,,,,,,,,0,1003,400,33.673592067096465,222.69890333143164,0.942173479561316,152.43812467217833,0.705,4.0135926563962004e-148
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,1000,f3,,,,,,,,0,1003,400,84.90150624842623,309.37203382119344,0.9549451645064806,206.53186579873523,0.765,1.147322979384901e-156
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,1000,f1,,,,,,,,0,1003,200,33.673592067096465,175.6790680408788,0.8995712861415752,152.43812467217833,0.56,1.0793936545321878e-71
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,1000,f3,,,,,,,,0,1003,200,84.90150624842623,239.12522689500423,0.921136590229312,206.53186579873523,0.605,2.1212286471997696e-79
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,2000,f1,,,,,,,,0,485,400,44.485048880256045,535.6009586822549,0.9817783505154639,219.83219417421023,0.9,5.962312973394525e-135
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,2000,f3,,,,,,,,0,485,400,107.02465218426403,669.058920798856,0.9891494845360824,291.82050771775556,0.9625,4.8465858809445854e-139
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,2000,f1,,,,,,,,0,485,200,44.485048880256045,460.241004729703,0.9672577319587629,219.83219417421023,0.83,7.459130488475141e-83
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,2000,f3,,,,,,,,0,485,200,107.02465218426403,585.3940208738073,0.9762577319587629,291.82050771775556,0.87,5.441295906186938e-86
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,4000,f1,,,,,,,,0,225,400,58.95997054480319,1124.5369701959225,0.9927555555555555,315.87412922184836,0.9775,2.1254738158508155e-93
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,4000,f3,,,,,,,,0,225,400,139.1654489461731,1338.4522427505246,0.9967222222222222,433.695150223576,0.9925,7.138492160714456e-95
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,4000,f1,,,,,,,,0,225,200,58.95997054480319,1164.4872392531431,0.9889333333333333,315.87412922184836,0.925,3.630345378180486e-68
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,4000,f3,,,,,,,,0,225,200,139.1654489461731,1402.2378535478856,0.9930444444444444,433.695150223576,0.96,2.7870309733360326e-69
