row_type,author_set,source_type,condition,feature,chunk_size,author,cohort,n_authors,n_observations,n_correct,macro_accuracy,macro_ci_low,macro_ci_high,micro_accuracy,micro_ci_low,micro_ci_high,cluster_unit,n_clusters,most_predicted
author,all_authors,human,,f1,2000,mary_shelley,existing,1,20,18,0.9,0.6,1.0,0.9,0.6,1.0,book_id,3,
author,all_authors,human,,f1,2000,mildred_wirt,new,1,14,14,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,2000,oscar_wilde,existing,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,2,
author,all_authors,human,,f1,2000,robert_sidney_bowen,new,1,12,7,0.5833333333333334,0.0,1.0,0.5833333333333334,0.0,1.0,book_id,3,
author,all_authors,human,,f1,2000,susan_warner,new,1,62,59,0.9516129032258065,0.8571428571428571,1.0,0.9516129032258065,0.8571428571428571,1.0,book_id,3,
summary,all_authors,human,,f1,4000,ALL,all,19,225,168,0.6716624044437112,0.503470704091734,0.8218672489413188,0.7466666666666667,0.6166435185185186,0.8690487012987013,author,19,susan_warner:32; charles_dickens:24; ethel_m_dell:21
author,all_authors,human,,f1,4000,agnes_may_fleming,existing,1,15,7,0.4666666666666667,0.0,1.0,0.4666666666666667,0.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,arthur_conan_doyle,existing,1,7,7,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,charles_dickens,existing,1,16,15,0.9375,0.0,1.0,0.9375,0.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,charlotte_bronte,existing,1,29,17,0.5862068965517241,0.0,1.0,0.5862068965517241,0.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,ethel_m_dell,new,1,18,18,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,harold_l_goodwin,new,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,herbert_george_wells,existing,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,3,
author,all_authors,human,,f1,4000,jane_austen,existing,1,15,13,0.8666666666666667,0.6,1.0,0.8666666666666667,0.6,1.0,book_id,3,
author,all_authors,human,,f1,4000,john_c_hutcheson,new,1,11,11,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,joseph_conrad,existing,1,12,6,0.5,0.0,0.8,0.5,0.0,0.8,book_id,3,
author,all_authors,human,,f1,4000,kathleen_thompson_norris,new,1,12,7,0.5833333333333334,0.42857142857142855,1.0,0.5833333333333334,0.42857142857142855,1.0,book_id,3,
author,all_authors,human,,f1,4000,louis_joseph_vance,new,1,10,7,0.7,0.5,1.0,0.7,0.5,1.0,book_id,3,
author,all_authors,human,,f1,4000,luis_senarens,new,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,3,
author,all_authors,human,,f1,4000,mark_twain,existing,1,11,5,0.45454545454545453,0.0,0.75,0.45454545454545453,0.0,0.75,book_id,3,
author,all_authors,human,,f1,4000,mary_shelley,existing,1,9,9,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,mildred_wirt,new,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,oscar_wilde,existing,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,2,
author,all_authors,human,,f1,4000,robert_sidney_bowen,new,1,6,4,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,book_id,3,
author,all_authors,human,,f1,4000,susan_warner,new,1,30,30,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
summary,all_authors,human,,f3,1000,ALL,all,20,1003,685,0.6584033288692768,0.5347596150878353,0.7709222496208308,0.6829511465603191,0.5804870434358029,0.7716424580541097,author,20,susan_warner:123; charlotte_bronte:93; ethel_m_dell:84
author,all_authors,human,,f3,1000,agnes_may_fleming,existing,1,67,22,0.3283582089552239,0.0,0.7222222222222222,0.3283582089552239,0.0,0.7222222222222222,book_id,3,
author,all_authors,human,,f3,1000,arthur_conan_doyle,existing,1,36,28,0.7777777777777778,0.6,0.8947368421052632,0.7777777777777778,0.6,0.8947368421052632,book_id,3,
author,all_authors,human,,f3,1000,arthur_scott_bailey,new,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,1000,charles_dickens,existing,1,69,51,0.7391304347826086,0.0,0.8285714285714286,0.7391304347826086,0.0,0.8285714285714286,book_id,3,
author,all_authors,human,,f3,1000,charlotte_bronte,existing,1,121,70,0.5785123966942148,0.043478260869565216,1.0,0.5785123966942148,0.043478260869565216,1.0,book_id,3,
author,all_authors,human,,f3,1000,ethel_m_dell,new,1,80,67,0.8375,0.7941176470588235,0.8695652173913043,0.8375,0.7941176470588235,0.8695652173913043,book_id,3,
author,all_authors,human,,f3,1000,harold_l_goodwin,new,1,24,22,0.9166666666666666,0.875,1.0,0.9166666666666666,0.875,1.0,book_id,3,
author,all_authors,human,,f3,1000,herbert_george_wells,existing,1,22,2,0.09090909090909091,0.0,0.125,0.09090909090909091,0.0,0.125,book_id,3,
author,all_authors,human,,f3,1000,jane_austen,existing,1,65,39,0.6,0.38095238095238093,0.7894736842105263,0.6,0.38095238095238093,0.7894736842105263,book_id,3,
author,all_authors,human,,f3,1000,john_c_hutcheson,new,1,49,46,0.9387755102040817,0.8,1.0,0.9387755102040817,0.8,1.0,book_id,3,
author,all_authors,human,,f3,1000,joseph_conrad,existing,1,53,32,0.6037735849056604,0.5185185185185185,0.7142857142857143,0.6037735849056604,0.5185185185185185,0.7142857142857143,book_id,3,
author,all_authors,human,,f3,1000,kathleen_thompson_norris,new,1,53,41,0.7735849056603774,0.6111111111111112,1.0,0.7735849056603774,0.6111111111111112,1.0,book_id,3,
author,all_authors,human,,f3,1000,louis_joseph_vance,new,1,44,26,0.5909090909090909,0.5,0.7692307692307693,0.5909090909090909,0.5,0.7692307692307693,book_id,3,
author,all_authors,human,,f3,1000,luis_senarens,new,1,18,6,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,book_id,3,
author,all_authors,human,,f3,1000,mark_twain,existing,1,50,32,0.64,0.3076923076923077,0.8947368421052632,0.64,0.3076923076923077,0.8947368421052632,book_id,3,
author,all_authors,human,,f3,1000,mary_shelley,existing,1,42,36,0.8571428571428571,0.6,0.9259259259259259,0.8571428571428571,0.6,0.9259259259259259,book_id,3,
author,all_authors,human,,f3,1000,mildred_wirt,new,1,29,28,0.9655172413793104,0.8888888888888888,1.0,0.9655172413793104,0.8888888888888888,1.0,book_id,3,
author,all_authors,human,,f3,1000,oscar_wilde,existing,1,21,1,0.047619047619047616,0.0,0.06666666666666667,0.047619047619047616,0.0,0.06666666666666667,book_id,3,
author,all_authors,human,,f3,1000,robert_sidney_bowen,new,1,27,18,0.6666666666666666,0.2222222222222222,1.0,0.6666666666666666,0.2222222222222222,1.0,book_id,3,
author,all_authors,human,,f3,1000,susan_warner,new,1,127,112,0.8818897637795275,0.6896551724137931,0.9787234042553191,0.8818897637795275,0.6896551724137931,0.9787234042553191,book_id,3,
summary,all_authors,human,,f3,2000,ALL,all,20,485,372,0.7314641369067365,0.5926251517813308,0.8497707450242672,0.7670103092783506,0.6452119093585137,0.8652244555609128,author,20,susan_warner:63; ethel_m_dell:45; charles_dickens:44
author,all_authors,human,,f3,2000,agnes_may_fleming,existing,1,33,11,0.3333333333333333,0.0,0.7777777777777778,0.3333333333333333,0.0,0.7777777777777778,book_id,3,
author,all_authors,human,,f3,2000,arthur_conan_doyle,existing,1,17,16,0.9411764705882353,0.6666666666666666,1.0,0.9411764705882353,0.6666666666666666,1.0,book_id,3,
author,all_authors,human,,f3,2000,arthur_scott_bailey,new,1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,2000,charles_dickens,existing,1,34,31,0.9117647058823529,0.3333333333333333,1.0,0.9117647058823529,0.3333333333333333,1.0,book_id,3,
author,all_authors,human,,f3,2000,charlotte_bronte,existing,1,60,35,0.5833333333333334,0.0,1.0,0.5833333333333334,0.0,1.0,book_id,3,
author,all_authors,human,,f3,2000,ethel_m_dell,new,1,39,37,0.9487179487179487,0.9090909090909091,1.0,0.9487179487179487,0.9090909090909091,1.0,book_id,3,
author,all_authors,human,,f3,2000,harold_l_goodwin,new,1,12,12,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,2000,herbert_george_wells,existing,1,11,1,0.09090909090909091,0.0,0.5,0.09090909090909091,0.0,0.5,book_id,3,
author,all_authors,human,,f3,2000,jane_austen,existing,1,31,26,0.8387096774193549,0.7,0.9166666666666666,0.8387096774193549,0.7,0.9166666666666666,book_id,3,
author,all_authors,human,,f3,2000,john_c_hutcheson,new,1,23,23,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,2000,joseph_conrad,existing,1,25,17,0.68,0.5,0.8,0.68,0.5,0.8,book_id,3,
author,all_authors,human,,f3,2000,kathleen_thompson_norris,new,1,26,22,0.8461538461538461,0.7777777777777778,1.0,0.8461538461538461,0.7777777777777778,1.0,book_id,3,
author,all_authors,human,,f3,2000,louis_joseph_vance,new,1,21,16,0.7619047619047619,0.6666666666666666,0.8333333333333334,0.7619047619047619,0.6666666666666666,0.8333333333333334,book_id,3,
author,all_authors,human,,f3,2000,luis_senarens,new,1,9,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,book_id,3,
author,all_authors,human,,f3,2000,mark_twain,existing,1,24,19,0.7916666666666666,0.3333333333333333,1.0,0.7916666666666666,0.3333333333333333,1.0,book_id,3,
author,all_authors,human,,f3,2000,mary_shelley,existing,1,20,19,0.95,0.8,1.0,0.95,0.8,1.0,book_id,3,
author,all_authors,human,,f3,2000,mildred_wirt,new,1,14,14,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,2000,oscar_wilde,existing,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,2,
author,all_authors,human,,f3,2000,robert_sidney_bowen,new,1,12,8,0.6666666666666666,0.25,1.0,0.6666666666666666,0.25,1.0,book_id,3,
author,all_authors,human,,f3,2000,susan_warner,new,1,62,59,0.9516129032258065,0.8571428571428571,1.0,0.9516129032258065,0.8571428571428571,1.0,book_id,3,
summary,all_authors,human,,f3,4000,ALL,all,19,225,182,0.7360769674971127,0.559064304570203,0.8791804329593575,0.8088888888888889,0.6898545615530924,0.9084027589413725,author,19,susan_warner:31; charles_dickens:20; ethel_m_dell:20
author,all_authors,human,,f3,4000,agnes_may_fleming,existing,1,15,7,0.4666666666666667,0.0,1.0,0.4666666666666667,0.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,arthur_conan_doyle,existing,1,7,7,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,charles_dickens,existing,1,16,15,0.9375,0.0,1.0,0.9375,0.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,charlotte_bronte,existing,1,29,18,0.6206896551724138,0.0,1.0,0.6206896551724138,0.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,ethel_m_dell,new,1,18,18,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,harold_l_goodwin,new,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,herbert_george_wells,existing,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,3,
author,all_authors,human,,f3,4000,jane_austen,existing,1,15,14,0.9333333333333333,0.8,1.0,0.9333333333333333,0.8,1.0,book_id,3,
author,all_authors,human,,f3,4000,john_c_hutcheson,new,1,11,11,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,joseph_conrad,existing,1,12,9,0.75,0.5,1.0,0.75,0.5,1.0,book_id,3,
author,all_authors,human,,f3,4000,kathleen_thompson_norris,new,1,12,11,0.9166666666666666,0.75,1.0,0.9166666666666666,0.75,1.0,book_id,3,
author,all_authors,human,,f3,4000,louis_joseph_vance,new,1,10,8,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,book_id,3,
author,all_authors,human,,f3,4000,luis_senarens,new,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,3,
author,all_authors,human,,f3,4000,mark_twain,existing,1,11,8,0.7272727272727273,0.3333333333333333,1.0,0.7272727272727273,0.3333333333333333,1.0,book_id,3,
author,all_authors,human,,f3,4000,mary_shelley,existing,1,9,9,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,mildred_wirt,new,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f3,4000,oscar_wilde,existing,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,2,
author,all_authors,human,,f3,4000,robert_sidney_bowen,new,1,6,5,0.8333333333333334,0.5,1.0,0.8333333333333334,0.5,1.0,book_id,3,
author,all_authors,human,,f3,4000,susan_warner,new,1,30,30,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
summary,all_authors,llm,flash,f1,1000,ALL,all,20,400,43,0.1075,0.045,0.18506249999999969,0.1075,0.045,0.18506249999999966,author,20,oscar_wilde:140; joseph_conrad:61; herbert_george_wells:54
author,all_authors,llm,flash,f1,1000,agnes_may_fleming,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,arthur_conan_doyle,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,3,
author,all_authors,llm,flash,f1,1000,arthur_scott_bailey,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,charles_dickens,existing,1,20,1,0.05,0.0,0.14285714285714285,0.05,0.0,0.14285714285714285,prompt_source_book,3,
author,all_authors,llm,flash,f1,1000,charlotte_bronte,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,ethel_m_dell,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,harold_l_goodwin,new,1,20,1,0.05,0.0,0.1,0.05,0.0,0.1,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,herbert_george_wells,existing,1,20,4,0.2,0.0,0.4,0.2,0.0,0.4,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,jane_austen,existing,1,20,2,0.1,0.0,0.14285714285714285,0.1,0.0,0.14285714285714285,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,john_c_hutcheson,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,joseph_conrad,existing,1,20,10,0.5,0.1,0.9,0.5,0.1,0.9,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,kathleen_thompson_norris,new,1,20,7,0.35,0.0,0.7,0.35,0.0,0.7,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,louis_joseph_vance,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,luis_senarens,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,mark_twain,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,mary_shelley,existing,1,20,10,0.5,0.2,0.8,0.5,0.2,0.8,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,mildred_wirt,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,oscar_wilde,existing,1,20,4,0.2,0.0,0.4,0.2,0.0,0.4,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,robert_sidney_bowen,new,1,20,4,0.2,0.1,0.3,0.2,0.1,0.3,prompt_source_book,2,
author,all_authors,llm,flash,f1,1000,susan_warner,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
summary,all_authors,llm,flash,f1,2000,ALL,all,20,400,27,0.06749999999999999,0.02,0.12250000000000001,0.0675,0.02,0.1225,author,20,oscar_wilde:213; joseph_conrad:64; herbert_george_wells:44
author,all_authors,llm,flash,f1,2000,agnes_may_fleming,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,arthur_conan_doyle,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,3,
author,all_authors,llm,flash,f1,2000,arthur_scott_bailey,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,charles_dickens,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,3,
author,all_authors,llm,flash,f1,2000,charlotte_bronte,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,ethel_m_dell,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,harold_l_goodwin,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,herbert_george_wells,existing,1,20,4,0.2,0.0,0.4,0.2,0.0,0.4,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,jane_austen,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,john_c_hutcheson,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,joseph_conrad,existing,1,20,9,0.45,0.1,0.8,0.45,0.1,0.8,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,kathleen_thompson_norris,new,1,20,1,0.05,0.0,0.1,0.05,0.0,0.1,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,louis_joseph_vance,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,luis_senarens,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,mark_twain,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,mary_shelley,existing,1,20,6,0.3,0.0,0.6,0.3,0.0,0.6,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,mildred_wirt,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,oscar_wilde,existing,1,20,4,0.2,0.0,0.4,0.2,0.0,0.4,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,robert_sidney_bowen,new,1,20,3,0.15,0.0,0.3,0.15,0.0,0.3,prompt_source_book,2,
author,all_authors,llm,flash,f1,2000,susan_warner,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
summary,all_authors,llm,flash,f1,4000,ALL,all,20,400,30,0.075,0.01743750000000011,0.14750000000000002,0.075,0.017437500000000113,0.1475,author,20,oscar_wilde:235; joseph_conrad:74; mary_shelley:37
author,all_authors,llm,flash,f1,4000,agnes_may_fleming,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,arthur_conan_doyle,existing,1,20,2,0.1,0.0,0.16666666666666666,0.1,0.0,0.16666666666666666,prompt_source_book,3,
author,all_authors,llm,flash,f1,4000,arthur_scott_bailey,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,charles_dickens,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,3,
author,all_authors,llm,flash,f1,4000,charlotte_bronte,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,ethel_m_dell,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,harold_l_goodwin,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,herbert_george_wells,existing,1,20,5,0.25,0.0,0.5,0.25,0.0,0.5,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,jane_austen,existing,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,john_c_hutcheson,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,joseph_conrad,existing,1,20,9,0.45,0.2,0.7,0.45,0.2,0.7,prompt_source_book,2,
author,all_authors,llm,flash,f1,4000,kathleen_thompson_norris,new,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,prompt_source_book,2,
